Row_ID,Store_ID,Store,Date,Weekly_Sales,Holiday_Flag,Holiday_Label,Holiday_Name,Temperature,Fuel_Price,CPI,Unemployment,Year,Month,Month_Name,Quarter
1,WMT-001,1,2/5/2010,1643690.9,0,No Holiday,Non-Holiday,42.31,2.57,211.1,8.11,2010,2,February,1
2,WMT-001,1,2/12/2010,1641957.44,1,Holiday,Super Bowl,38.51,2.55,211.24,8.11,2010,2,February,1
3,WMT-001,1,2/19/2010,1611968.17,0,No Holiday,Non-Holiday,39.93,2.51,211.29,8.11,2010,2,February,1
4,WMT-001,1,2/26/2010,1409727.59,0,No Holiday,Non-Holiday,46.63,2.56,211.32,8.11,2010,2,February,1
5,WMT-001,1,3/5/2010,1554806.68,0,No Holiday,Non-Holiday,46.5,2.62,211.35,8.11,2010,3,March,1
6,WMT-001,1,3/12/2010,1439541.59,0,No Holiday,Non-Holiday,57.79,2.67,211.38,8.11,2010,3,March,1
7,WMT-001,1,3/19/2010,1472515.79,0,No Holiday,Non-Holiday,54.58,2.72,211.22,8.11,2010,3,March,1
8,WMT-001,1,3/26/2010,1404429.92,0,No Holiday,Non-Holiday,51.45,2.73,211.02,8.11,2010,3,March,1
9,WMT-001,1,4/2/2010,1594968.28,0,No Holiday,Non-Holiday,62.27,2.72,210.82,7.81,2010,4,April,2
10,WMT-001,1,4/9/2010,1545418.53,0,No Holiday,Non-Holiday,65.86,2.77,210.62,7.81,2010,4,April,2
11,WMT-001,1,4/16/2010,1466058.28,0,No Holiday,Non-Holiday,66.32,2.81,210.49,7.81,2010,4,April,2
12,WMT-001,1,4/23/2010,1391256.12,0,No Holiday,Non-Holiday,64.84,2.79,210.44,7.81,2010,4,April,2
13,WMT-001,1,4/30/2010,1425100.71,0,No Holiday,Non-Holiday,67.41,2.78,210.39,7.81,2010,4,April,2
14,WMT-001,1,5/7/2010,1603955.12,0,No Holiday,Non-Holiday,72.55,2.84,210.34,7.81,2010,5,May,2
15,WMT-001,1,5/14/2010,1494251.5,0,No Holiday,Non-Holiday,74.78,2.85,210.34,7.81,2010,5,May,2
16,WMT-001,1,5/21/2010,1399662.07,0,No Holiday,Non-Holiday,76.44,2.83,210.62,7.81,2010,5,May,2
17,WMT-001,1,5/28/2010,1432069.95,0,No Holiday,Non-Holiday,80.44,2.76,210.9,7.81,2010,5,May,2
18,WMT-001,1,6/4/2010,1615524.71,0,No Holiday,Non-Holiday,80.69,2.71,211.18,7.81,2010,6,June,2
19,WMT-001,1,6/11/2010,1542561.09,0,No Holiday,Non-Holiday,80.43,2.67,211.46,7.81,2010,6,June,2
20,WMT-001,1,6/18/2010,1503284.06,0,No Holiday,Non-Holiday,84.11,2.64,211.45,7.81,2010,6,June,2
21,WMT-001,1,6/25/2010,1422711.6,0,No Holiday,Non-Holiday,84.34,2.65,211.34,7.81,2010,6,June,2
22,WMT-001,1,7/2/2010,1492418.14,0,No Holiday,Non-Holiday,80.91,2.67,211.22,7.79,2010,7,July,3
23,WMT-001,1,7/9/2010,1546074.18,0,No Holiday,Non-Holiday,80.48,2.64,211.11,7.79,2010,7,July,3
24,WMT-001,1,7/16/2010,1448938.92,0,No Holiday,Non-Holiday,83.15,2.62,211.1,7.79,2010,7,July,3
25,WMT-001,1,7/23/2010,1385065.2,0,No Holiday,Non-Holiday,83.36,2.61,211.24,7.79,2010,7,July,3
26,WMT-001,1,7/30/2010,1371986.6,0,No Holiday,Non-Holiday,81.84,2.64,211.37,7.79,2010,7,July,3
27,WMT-001,1,8/6/2010,1605491.78,0,No Holiday,Non-Holiday,87.16,2.63,211.5,7.79,2010,8,August,3
28,WMT-001,1,8/13/2010,1508237.76,0,No Holiday,Non-Holiday,87,2.69,211.64,7.79,2010,8,August,3
29,WMT-001,1,8/20/2010,1513080.49,0,No Holiday,Non-Holiday,86.65,2.66,211.6,7.79,2010,8,August,3
30,WMT-001,1,8/27/2010,1449142.92,0,No Holiday,Non-Holiday,85.22,2.62,211.57,7.79,2010,8,August,3
31,WMT-001,1,9/3/2010,1540163.53,0,No Holiday,Non-Holiday,81.21,2.58,211.53,7.79,2010,9,September,3
32,WMT-001,1,9/10/2010,1507460.69,1,Holiday,Labour Day,78.69,2.56,211.5,7.79,2010,9,September,3
33,WMT-001,1,9/17/2010,1430378.67,0,No Holiday,Non-Holiday,82.11,2.58,211.52,7.79,2010,9,September,3
34,WMT-001,1,9/24/2010,1351791.03,0,No Holiday,Non-Holiday,80.94,2.62,211.6,7.79,2010,9,September,3
35,WMT-001,1,10/1/2010,1453329.5,0,No Holiday,Non-Holiday,71.89,2.6,211.67,7.84,2010,10,October,4
36,WMT-001,1,10/8/2010,1508239.93,0,No Holiday,Non-Holiday,63.93,2.63,211.75,7.84,2010,10,October,4
37,WMT-001,1,10/15/2010,1459409.1,0,No Holiday,Non-Holiday,67.18,2.72,211.81,7.84,2010,10,October,4
